FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
status_resize, gnuit-4.9.5\src\status.c, 9, 2, 2, 1, 0, 5, 4
status_update, gnuit-4.9.5\src\status.c, 28, 3, 3, 1, 3, 11, 6
title_update, gnuit-4.9.5\src\title.h, 46, 3, 3, 1, 1, 16, 14
tty_cursor, gnuit-4.9.5\src\tty.h, 15, 4, 4, 2, 1, 5, 1
tty_foreground, gnuit-4.9.5\src\tty.c, 6, 1, 1, 0, 0, 8, 1
tty_get_cursor, gnuit-4.9.5\src\tty.c, 7, 1, 1, 0, 0, 3, 2
tty_goto, gnuit-4.9.5\src\tty.c, 7, 1, 1, 0, 0, 6, 2
tty_update, gnuit-4.9.5\src\tty.c, 33, 24, 7, 3, 0, 34, 6
window_putc, gnuit-4.9.5\src\window.c, 11, 3, 3, 1, 2, 12, 3
xstat, gnuit-4.9.5\src\xio.c, 15, 1, 2, 1, 0, 9, 3
calc_info_length, gnuit-4.9.5\src\title.c, 9, 1, 1, 0, 0, 8, 3
clean_up, gnuit-4.9.5\src\gitps.c, 7, 1, 1, 0, 0, 2, 3
in_terminal_mode, gnuit-4.9.5\src\git.c, 5, 1, 1, 0, 0, 2, 1
mail_check, gnuit-4.9.5\src\title.c, 66, 63, 14, 4, 7, 10, 16
title_end, gnuit-4.9.5\src\title.c, 5, 1, 1, 0, 0, 1, 1
title_init, gnuit-4.9.5\src\title.c, 22, 3, 3, 2, 0, 7, 14
title_resize, gnuit-4.9.5\src\title.c, 6, 1, 1, 0, 0, 4, 1
do_exit, gnuit-4.9.5\src\gitkeys.c, 8, 1, 1, 0, 0, 0, 3
hide, gnuit-4.9.5\src\gitps.c, 7, 1, 1, 0, 0, 1, 3
set_title, gnuit-4.9.5\src\gitps.c, 10, 1, 2, 0, 0, 6, 6
tty_end, gnuit-4.9.5\src\tty.c, 12, 2, 2, 1, 0, 8, 6
il_insert_text, gnuit-4.9.5\src\inputline.h, 20, 3, 3, 1, 1, 11, 12
il_message, gnuit-4.9.5\src\inputline.c, 9, 1, 2, 0, 0, 9, 4
il_restore, gnuit-4.9.5\src\inputline.c, 12, 2, 2, 1, 1, 8, 3
il_save, gnuit-4.9.5\src\inputline.c, 14, 4, 3, 1, 0, 8, 7
il_update, gnuit-4.9.5\src\inputline.c, 39, 16, 11, 1, 1, 18, 12
il_update_point, gnuit-4.9.5\src\inputline.c, 20, 4, 7, 1, 0, 15, 5
get_const_var, gnuit-4.9.5\src\misc.c, 20, 7, 5, 3, 5, 6, 5
get_flag_var, gnuit-4.9.5\src\misc.c, 18, 4, 4, 2, 5, 7, 5
get_int_var, gnuit-4.9.5\src\misc.c, 9, 1, 2, 0, 0, 4, 3
minimize_path, gnuit-4.9.5\src\misc.c, 37, 132, 10, 4, 2, 4, 2
truncate_long_name, gnuit-4.9.5\src\misc.c, 31, 6, 6, 2, 11, 5, 3
panel_action, gnuit-4.9.5\src\panel.h, 471, 177, 122, 7, 781, 37, 58
service_pending_signals, gnuit-4.9.5\src\signals.c, 9, 2, 2, 1, 1, 7, 1
signals, gnuit-4.9.5\src\signals.c, 8, 2, 2, 1, 0, 5, 2
display_errors, gnuit-4.9.5\src\system.c, 28, 6, 5, 3, 3, 5, 8
start, gnuit-4.9.5\src\system.c, 27, 2, 2, 1, 1, 7, 9
tilde_expand, gnuit-4.9.5\src\tilde.c, 38, 9, 5, 2, 2, 6, 10
tty_background, gnuit-4.9.5\src\tty.c, 6, 1, 1, 0, 0, 7, 1
tty_beep, gnuit-4.9.5\src\tty.c, 6, 1, 1, 0, 0, 12, 2
tty_brightness, gnuit-4.9.5\src\tty.c, 6, 1, 1, 0, 0, 6, 1
tty_get_screen, gnuit-4.9.5\src\tty.c, 6, 1, 1, 0, 0, 4, 0
tty_touch, gnuit-4.9.5\src\tty.h, 5, 1, 1, 0, 0, 7, 1
tty_update_title, gnuit-4.9.5\src\tty.c, 22, 3, 3, 2, 0, 12, 9
xgetcwd, gnuit-4.9.5\src\xio.c, 19, 4, 3, 1, 1, 3, 7
xlstat, gnuit-4.9.5\src\xio.c, 15, 1, 2, 1, 0, 3, 3
xreadlink, gnuit-4.9.5\src\xio.c, 18, 3, 3, 2, 2, 2, 4
xstack_end, gnuit-4.9.5\src\xstack.c, 10, 3, 3, 1, 1, 3, 1
