FunctionName, RelativePath,NumberOfBugs
free_history_entry, bash-4.2\lib\readline\history.h, 0
add_history, bash-4.2\lib\readline\history.c, 0
add_history_time, bash-4.2\lib\readline\history.c, 0
alloc_history_entry, bash-4.2\lib\readline\history.c, 0
clear_history, bash-4.2\lib\readline\history.c, 0
copy_history_entry, bash-4.2\lib\readline\history.c, 0
current_history, bash-4.2\lib\readline\history.c, 0
hist_inittime, bash-4.2\lib\readline\history.c, 0
history_get, bash-4.2\lib\readline\history.c, 0
history_get_history_state, bash-4.2\lib\readline\history.c, 0
history_get_time, bash-4.2\lib\readline\history.c, 0
history_is_stifled, bash-4.2\lib\readline\history.c, 0
history_list, bash-4.2\lib\readline\history.c, 0
history_set_history_state, bash-4.2\lib\readline\history.c, 0
history_set_pos, bash-4.2\lib\readline\history.c, 0
history_total_bytes, bash-4.2\lib\readline\history.c, 0
next_history, bash-4.2\lib\readline\history.c, 0
previous_history, bash-4.2\lib\readline\history.c, 0
remove_history, bash-4.2\lib\readline\history.c, 0
replace_history_data, bash-4.2\lib\readline\history.c, 0
replace_history_entry, bash-4.2\lib\readline\history.c, 0
stifle_history, bash-4.2\lib\readline\history.c, 0
unstifle_history, bash-4.2\lib\readline\history.c, 0
using_history, bash-4.2\lib\readline\history.c, 0
where_history, bash-4.2\lib\readline\history.c, 0
no_options, bash-4.2\builtins\common.c, 0
dirname_builtin, bash-4.2\examples\loadables\dirname.c, 0
copy_command, bash-4.2\command.h, 0
copy_function_def, bash-4.2\copy_cmd.c, 0
copy_function_def_contents, bash-4.2\copy_cmd.c, 0
copy_redirect, bash-4.2\copy_cmd.c, 0
copy_redirects, bash-4.2\copy_cmd.c, 0
copy_word, bash-4.2\copy_cmd.c, 0
copy_word_list, bash-4.2\copy_cmd.c, 0
tee_builtin, bash-4.2\examples\loadables\tee.c, 0
parse_plural_expression, bash-4.2\lib\intl\plural.c, 0
strstr, bash-4.2\lib\sh\strstr.c, 0
extract_plural_expression, bash-4.2\lib\intl\plural-exp.c, 0
malloc, bash-4.2\lib\malloc\malloc.c, 0
realloc, bash-4.2\lib\malloc\malloc.c, 0
strtod, bash-4.2\lib\sh\strtod.c, 0
restore_parser_state, bash-4.2\shell.h, 0
save_parser_state, bash-4.2\shell.h, 0
rl_backward_char, bash-4.2\lib\readline\text.c, 0
rl_beg_of_line, bash-4.2\lib\readline\text.c, 0
rl_begin_undo_group, bash-4.2\lib\readline\undo.c, 0
rl_beginning_of_history, bash-4.2\lib\readline\misc.c, 0
rl_clear_message, bash-4.2\lib\readline\display.c, 0
rl_complete, bash-4.2\lib\readline\complete.c, 0
rl_complete_internal, bash-4.2\lib\readline\readline.h, 0
rl_delete_text, bash-4.2\lib\readline\text.c, 0
rl_digit_argument, bash-4.2\lib\readline\misc.c, 0
rl_do_undo, bash-4.2\lib\readline\undo.c, 0
rl_end_of_line, bash-4.2\lib\readline\text.c, 0
rl_end_undo_group, bash-4.2\lib\readline\undo.c, 0
rl_forward_char, bash-4.2\lib\readline\text.c, 0
rl_free_undo_list, bash-4.2\lib\readline\undo.c, 0
rl_get_previous_history, bash-4.2\lib\readline\readline.h, 0
rl_insert_text, bash-4.2\lib\readline\text.c, 0
rl_kill_text, bash-4.2\lib\readline\kill.c, 0
rl_make_bare_keymap, bash-4.2\lib\readline\keymaps.c, 0
rl_newline, bash-4.2\lib\readline\text.c, 0
rl_noninc_forward_search, bash-4.2\lib\readline\search.c, 0
rl_noninc_forward_search_again, bash-4.2\lib\readline\search.c, 0
rl_noninc_reverse_search, bash-4.2\lib\readline\search.c, 0
rl_noninc_reverse_search_again, bash-4.2\lib\readline\search.c, 0
rl_read_key, bash-4.2\lib\readline\input.c, 2
rl_rubout, bash-4.2\lib\readline\text.c, 0
rl_stuff_char, bash-4.2\lib\readline\readline.h, 0
rl_tilde_expand, bash-4.2\lib\readline\util.c, 0
rl_undo_command, bash-4.2\lib\readline\undo.c, 0
rl_universal_argument, bash-4.2\lib\readline\readline.h, 0
rl_vi_bWord, bash-4.2\lib\readline\readline.h, 0
rl_vi_bracktype, bash-4.2\lib\readline\readline.h, 0
rl_vi_bword, bash-4.2\lib\readline\readline.h, 0
rl_vi_check, bash-4.2\lib\readline\readline.h, 0
rl_vi_delete, bash-4.2\lib\readline\readline.h, 0
rl_vi_eWord, bash-4.2\lib\readline\readline.h, 0
rl_vi_end_word, bash-4.2\lib\readline\readline.h, 0
rl_vi_eword, bash-4.2\lib\readline\readline.h, 0
rl_vi_fWord, bash-4.2\lib\readline\readline.h, 0
rl_vi_fword, bash-4.2\lib\readline\readline.h, 0
rl_vi_insert_mode, bash-4.2\lib\readline\readline.h, 0
rl_vi_insertion_mode, bash-4.2\lib\readline\readline.h, 0
rl_vi_next_word, bash-4.2\lib\readline\readline.h, 0
rl_yank, bash-4.2\lib\readline\kill.c, 0
rl_yank_nth_arg, bash-4.2\lib\readline\kill.c, 0
_rl_arg_getchar, bash-4.2\lib\readline\misc.c, 0
_rl_arg_overflow, bash-4.2\lib\readline\misc.c, 0
_rl_callback_data_alloc, bash-4.2\lib\readline\callback.c, 0
