"","learner","model_auc","model_ce"
"1","classif.randomForest",0.749193548387097,0.332620320855615
"2","classif.randomForest",0.754807692307692,0.332620320855615
"3","classif.randomForest",0.761549925484352,0.332620320855615
"4","classif.randomForest",0.786764705882353,0.332620320855615
"5","classif.randomForest",0.789120715350224,0.332620320855615
"6","classif.randomForest",0.762786596119929,0.332620320855615
"7","classif.randomForest",0.677955665024631,0.332620320855615
"8","classif.randomForest",0.927689594356261,0.332620320855615
"9","classif.randomForest",0.812096774193548,0.332620320855615
"10","classif.randomForest",0.80791788856305,0.332620320855615
"11","classif.randomForest",0.822459893048128,0.332620320855615
"12","classif.randomForest",0.82421875,0.332620320855615
"13","classif.randomForest",0.672527472527473,0.332620320855615
"14","classif.randomForest",0.871065375302663,0.332620320855615
"15","classif.randomForest",0.763194444444444,0.332620320855615
"16","classif.randomForest",0.725749559082892,0.332620320855615
"17","classif.randomForest",0.819444444444444,0.332620320855615
"18","classif.randomForest",0.711864406779661,0.332620320855615
"19","classif.randomForest",0.6982421875,0.332620320855615
"20","classif.randomForest",0.725694444444444,0.332620320855615
"21","classif.randomForest",0.730938416422287,0.332620320855615
"22","classif.randomForest",0.819354838709677,0.332620320855615
"23","classif.randomForest",0.781616688396349,0.332620320855615
"24","classif.randomForest",0.771838331160365,0.332620320855615
"25","classif.randomForest",0.771982116244411,0.332620320855615
"26","classif.randomForest",0.837903225806452,0.332620320855615
"27","classif.randomForest",0.838114754098361,0.332620320855615
"28","classif.randomForest",0.633333333333333,0.332620320855615
"29","classif.randomForest",0.781305114638448,0.332620320855615
"30","classif.randomForest",0.684798807749627,0.332620320855615
"31","classif.randomForest",0.731527093596059,0.332620320855615
"32","classif.randomForest",0.768131868131868,0.332620320855615
"33","classif.randomForest",0.769125683060109,0.332620320855615
"34","classif.randomForest",0.8,0.332620320855615
"35","classif.randomForest",0.771838331160365,0.332620320855615
"36","classif.randomForest",0.851923076923077,0.332620320855615
"37","classif.randomForest",0.726392251815981,0.332620320855615
"38","classif.randomForest",0.823232323232323,0.332620320855615
"39","classif.randomForest",0.712280701754386,0.332620320855615
"40","classif.randomForest",0.755588673621461,0.332620320855615
"41","classif.randomForest",0.807040417209909,0.332620320855615
"42","classif.randomForest",0.684027777777778,0.332620320855615
"43","classif.randomForest",0.738709677419355,0.332620320855615
"44","classif.randomForest",0.756598240469208,0.332620320855615
"45","classif.randomForest",0.792929292929293,0.332620320855615
"46","classif.randomForest",0.746794871794872,0.332620320855615
"47","classif.randomForest",0.728142076502732,0.332620320855615
"48","classif.randomForest",0.780923994038748,0.332620320855615
"49","classif.randomForest",0.876953125,0.332620320855615
"50","classif.randomForest",0.70935960591133,0.332620320855615
"51","classif.randomForest",0.763461538461538,0.332620320855615
"52","classif.randomForest",0.699193548387097,0.332620320855615
"53","classif.randomForest",0.778357235984355,0.332620320855615
"54","classif.randomForest",0.87258064516129,0.332620320855615
